141	31770	58	58	1080	1656	0	1656	1	3	528	215000
80	11622	57	57	882	896	0	896	1	2	730	105000
81	14267	60	60	1329	1329	0	1329	1.5	3	312	172000
93	11160	50	50	2110	2110	0	2110	2.5	3	522	244000
74	13830	21	20	928	928	701	1629	2.5	3	482	189900
78	9978	20	20	926	926	678	1604	2.5	3	470	195500
41	4920	17	17	1338	1338	0	1338	2	2	582	213500
43	5005	26	26	1280	1280	0	1280	2	2	506	191500
39	5389	23	22	1595	1616	0	1616	2	2	608	236500
60	7500	19	19	994	1028	776	1804	2.5	3	442	189000
75	10000	25	24	763	763	892	1655	2.5	3	440	175900
0	7980	26	11	1168	1187	0	1187	2	3	420	185000
63	8402	20	20	789	789	676	1465	2.5	3	393	180400
85	10176	28	28	1300	1341	0	1341	1.5	2	506	171500
0	6820	33	33	1488	1502	0	1502	1.5	1	528	212000
47	53504	15	15	1650	1690	1589	3279	3.5	4	841	538000
152	12134	30	13	559	1080	672	1752	2	4	492	164000
88	11394	8	8	1856	1856	0	1856	1.5	1	834	394432
140	19138	67	67	864	864	0	864	1	2	400	141000
85	13175	40	30	1542	2073	0	2073	2	3	500	210000
105	11751	41	41	1844	1844	0	1844	2	3	546	190000
85	10625	44	44	1053	1173	0	1173	2	3	528	170000
0	7500	18	18	814	814	860	1674	2.5	3	663	216000
0	11241	48	48	1004	1004	0	1004	1	2	480	149000
0	12537	47	10	1078	1078	0	1078	1.5	3	500	149900
65	8450	50	50	1056	1056	0	1056	1	3	304	142000
70	8400	48	48	882	882	0	882	1	2	525	126000
70	10500	47	47	864	864	0	864	1	3	0	115000
26	5858	19	19	1405	1337	0	1337	2	2	511	184000
21	1680	47	47	483	483	504	987	1.5	2	264	96000
21	1680	47	47	525	525	567	1092	1.5	3	320	105500
21	1680	47	47	525	525	567	1092	1.5	3	264	88000
53	4043	41	41	1069	1069	0	1069	2	2	440	127500
24	2280	43	43	855	855	601	1456	2.5	3	440	149900
24	2280	43	43	836	836	0	836	1	2	308	120000
24	2280	40	40	855	855	601	1456	2.5	3	440	146000
102	12858	9	8	1590	1627	707	2334	2.5	3	751	376162
98	11478	11	10	1704	1704	0	1704	2	3	772	306000
83	10159	9	8	1930	1940	0	1940	2.5	3	606	395192
94	12883	9	8	1544	1544	0	1544	2	3	868	290941
95	12182	13	13	1541	1541	0	1541	2	3	532	220000
90	11520	13	13	1698	1698	0	1698	2	3	730	275000
79	14122	13	12	1822	1822	0	1822	2	3	678	259000
70	10171	14	14	1517	1535	0	1535	2	3	532	214000
100	12919	9	8	2330	2364	0	2364	2.5	2	820	611657
44	6371	9	8	1358	1358	0	1358	2	2	484	224000
110	14300	15	14	2846	2696	0	2696	2.5	3	958	500000
105	13650	16	16	1671	1687	563	2250	2.5	3	756	320000
61	7658	13	13	1752	1752	0	1752	2	2	576	319900
41	7132	12	12	1370	1370	0	1370	2	2	484	205000
36	2628	15	15	764	764	862	1626	2.5	2	474	175500
100	18494	13	13	1324	1324	0	1324	2	3	430	199500
43	3203	12	12	1145	1145	0	1145	2	2	437	160000
43	3182	14	13	1256	1269	0	1269	2	2	430	192000
67	13300	14	14	384	744	630	1374	2.5	3	400	184500
0	7851	16	16	860	860	1100	1960	2.5	4	440	216500
63	8577	14	14	847	847	886	1733	2.5	3	433	185088
0	7750	18	18	384	774	656	1430	2.5	3	400	180000
0	9505	17	17	884	884	1151	2035	2.5	3	434	222500
108	14774	19	19	1393	1422	1177	2599	2.5	4	779	333168
60	17433	20	20	1629	1645	830	2475	2.5	4	962	355000
59	10593	22	22	1720	1720	0	1720	2	3	527	260400
98	12256	24	23	1463	1500	1122	2622	2.5	3	712	325000
92	11764	19	11	1152	1164	1106	2270	2.5	4	671	290000
58	16770	20	20	1195	1195	644	1839	2.5	4	486	221000
56	14720	23	22	2033	2053	1185	3238	2.5	4	666	410000
73	8987	13	12	1595	1595	0	1595	2	2	880	221500
92	9215	9	8	1218	1218	0	1218	2	2	676	204500
72	8640	9	9	756	764	783	1547	2.5	3	614	215200
75	9000	10	10	1566	1566	0	1566	2	3	750	262500
100	12552	14	13	991	991	956	1947	2.5	3	678	254900
84	10440	13	13	1468	1468	0	1468	2	2	528	271500
76	10142	14	14	956	956	1128	2084	2.5	4	618	233000
70	11920	14	14	831	831	828	1659	2.5	3	484	181000
0	8880	24	16	948	1222	888	2110	2.5	3	463	205000
50	8012	38	38	923	923	0	923	2	2	264	143000
70	11218	26	26	1055	1055	790	1845	2.5	3	462	189000
55	7892	39	39	918	918	0	918	2	2	264	99500
50	7175	34	34	744	752	0	752	1	2	264	125000
0	9453	25	15	996	1014	730	1744	2.5	3	457	194500
81	9672	34	33	1040	1097	0	1097	2	3	480	152000
70	8400	38	37	650	888	676	1564	2.5	3	476	171000
70	9800	98	68	816	1012	0	1012	1	2	429	67500
68	8930	40	40	0	1318	584	1902	2	4	539	112000
88	11782	57	23	1109	1155	0	1155	1	3	576	148000
65	8450	53	9	894	894	0	894	1	3	336	138500
0	9819	51	51	882	900	0	900	1	3	280	122000
75	7500	55	55	1040	1040	0	1040	1.5	3	308	133000
0	6897	56	8	1040	1040	0	1040	1.5	3	260	127000
39	15410	44	16	1208	1494	0	1494	2	3	461	169000
107	10186	26	26	750	1061	862	1923	2.5	3	564	190000
85	13143	25	25	1231	1251	1098	2349	2.5	4	762	362500
88	11134	26	25	1390	1402	823	2225	2.5	4	713	285000
25	4835	14	13	1488	1488	0	1488	2	2	506	260000
39	3515	14	14	840	840	840	1680	2.5	2	588	190000
30	3215	14	14	600	600	600	1200	2.5	2	480	155000
30	3182	14	13	600	600	600	1200	2.5	2	480	151000
24	2544	14	13	600	600	600	1200	2.5	2	480	149500
24	2544	13	13	600	600	636	1236	2.5	2	480	152000
0	4403	9	9	1470	1478	0	1478	2.5	2	484	222000
0	2117	18	18	756	769	804	1573	2.5	3	440	177500
0	2980	18	18	756	756	756	1512	2.5	2	440	177000
24	2572	19	19	696	696	720	1416	2.5	3	484	155000
0	2403	15	15	530	530	550	1080	2.5	2	496	147110
57	12853	8	8	1642	1418	0	1418	1.5	1	852	267916
68	7379	18	18	975	975	873	1848	2.5	3	592	254000
30	4420	38	38	728	788	0	788	1	1	484	155000
40	3880	40	40	1226	1226	0	1226	1	1	484	206000
0	13517	42	13	725	725	754	1479	2.5	3	475	130500
80	8000	16	16	1492	1492	0	1492	2	3	596	230000
0	10456	51	51	1829	1829	0	1829	2	4	535	218500
80	10791	25	25	1280	1280	1215	2495	2.5	4	660	243500
0	10603	41	17	1610	1610	0	1610	2	3	480	205000
0	18837	40	40	1224	1287	604	1891	3	3	678	212500
80	10421	30	30	980	980	734	1714	2.5	3	496	196500
78	9360	46	12	1161	1381	0	1381	1.5	3	676	197500
80	9600	47	47	715	930	715	1645	2	4	441	171000
80	9600	52	52	1232	1232	0	1232	1.5	3	490	142250
0	9790	55	55	1328	1328	0	1328	1.5	3	528	143000
77	9320	59	59	950	1225	0	1225	1.5	3	0	128950
90	9900	52	52	1209	1209	0	1209	1	3	504	159000
88	9680	51	51	1510	1510	0	1510	2	3	517	178900
0	10600	54	54	533	1131	644	1775	2	3	480	136300
0	14112	54	54	1152	1152	0	1152	1	3	484	180500
80	8800	55	55	936	1054	0	1054	1	3	480	137500
98	13260	56	17	1728	1728	0	1728	2	6	0	84900
68	9717	68	22	1078	1078	0	1078	1	2	240	142125
68	9724	66	16	1140	1929	532	2461	2	3	400	197600
120	17360	69	68	782	1019	537	1556	2	3	470	172500
